   0.50000    0.00000
   0.59700    0.05990
   0.68605    0.13907
   0.76427    0.23642
   0.82895    0.35048
   0.87758    0.47943
   0.90787    0.62111
   0.91781    0.77306
   0.90572    0.93256
   0.87025    1.09666
   0.81045    1.26221
   0.72575    1.42593
   0.61601    1.58447
   0.48150    1.73440
   0.32294    1.87235
   0.14147    1.99499
  -0.06132    2.09910
  -0.28346    2.18166
  -0.52256    2.23985
  -0.77589    2.27112
  -1.04037    2.27324
  -1.31260    2.24434
  -1.58895    2.18294
  -1.86557    2.08797
  -2.13844    1.95884
  -2.40343    1.79542
  -2.65636    1.59805
  -2.89303    1.36762
  -3.10933    1.10546
  -3.30126    0.81345
  -3.46497    0.49392
  -3.59689    0.14969
  -3.69369   -0.21598
  -3.75242   -0.59943
  -3.77051   -0.99661
  -3.74583   -1.40313
  -3.67671   -1.81433
  -3.56202   -2.22531
  -3.40116   -2.63099
  -3.19410   -3.02617
  -2.94140   -3.40561
  -2.64419   -3.76407
  -2.30423   -4.09641
  -1.92384   -4.39760
  -1.50593   -4.66285
  -1.05398   -4.88765
  -0.57198   -5.06782
  -0.06442   -5.19960
   0.46374   -5.27967
   1.00717   -5.30524
   1.56014   -5.27408
   2.11668   -5.18456
   2.67055   -5.03569
   3.21537   -4.82715
   3.74469   -4.55931
   4.25202   -4.23324
   4.73095   -3.85073
   5.17522   -3.41425
   5.57877   -2.92699
   5.93586   -2.39281
   6.24111   -1.81620
   6.48957   -1.20227
   6.67683   -0.55670
